Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Au_ecut20_k111111_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,20,11 11 11,Au.pbesol-n-kjpaw_psl.1.0.0,-764.63305039
Au_ecut20_k111111_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,20,11 11 11,Au.pbesol-n-rrkjus_psl.1.0.0,-85.16977781
Au_ecut25_k111_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,1 1 1,Au.pbe-n-kjpaw_psl.1.0.0,-775.91230523
Au_ecut25_k111_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,1 1 1,Au.pbe-n-rrkjus_psl.1.0.0,-86.16550522
Au_ecut25_k111_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,1 1 1,Au.pbesol-n-kjpaw_psl.1.0.0,-765.45694788
Au_ecut25_k111_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,1 1 1,Au.pbesol-n-rrkjus_psl.1.0.0,-85.98661376
Au_ecut25_k222_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,2 2 2,Au.pbe-n-kjpaw_psl.1.0.0,-774.86866768
Au_ecut25_k222_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,2 2 2,Au.pbe-n-rrkjus_psl.1.0.0,-85.11950624
Au_ecut25_k222_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,2 2 2,Au.pbesol-n-kjpaw_psl.1.0.0,-764.41031832
Au_ecut25_k222_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,2 2 2,Au.pbesol-n-rrkjus_psl.1.0.0,-84.93792202
Au_ecut25_k333_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,3 3 3,Au.pbe-n-kjpaw_psl.1.0.0,-775.14255219
Au_ecut25_k333_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,3 3 3,Au.pbe-n-rrkjus_psl.1.0.0,-85.39528873
Au_ecut25_k333_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,3 3 3,Au.pbesol-n-kjpaw_psl.1.0.0,-764.68415831
Au_ecut25_k333_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,3 3 3,Au.pbesol-n-rrkjus_psl.1.0.0,-85.21305881
Au_ecut25_k444_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,4 4 4,Au.pbe-n-kjpaw_psl.1.0.0,-775.09852695
Au_ecut25_k444_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,4 4 4,Au.pbe-n-rrkjus_psl.1.0.0,-85.35095392
Au_ecut25_k444_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,4 4 4,Au.pbesol-n-kjpaw_psl.1.0.0,-764.64036427
Au_ecut25_k444_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,4 4 4,Au.pbesol-n-rrkjus_psl.1.0.0,-85.16906288
Au_ecut25_k555_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,5 5 5,Au.pbe-n-kjpaw_psl.1.0.0,-775.12176327
